sep,c,log_r,loss_decrease,ce_gap,err_gap,cal_mzr,ref_mzr,ce_mzr,cal_min,ref_cal_mzr,ce_cal_mzr,ref_min,cal_ref_mzr,ce_ref_mzr,ce_min,cal_ce_mzr,ref_ce_mzr,err_ref_mzr,err_ce_mzr
0.001,0.62761,-1.0,0.19,0.00011,3e-05,-4.79,-4.43,-4.69,0.0,0.0587,0.0587,0.05856,0.00041,0.05897,0.05867,3e-05,0.05864,0.01097,0.011
0.001,0.62761,-0.9,0.22,0.00014,4e-05,-4.64,-4.26,-4.54,0.0,0.06431,0.06431,0.06412,0.00056,0.06468,0.06426,4e-05,0.06423,0.01328,0.01333
0.001,0.62761,-0.8,0.26,0.00019,6e-05,-4.49,-4.08,-4.39,0.0,0.07119,0.07119,0.07095,0.00078,0.07173,0.07114,4e-05,0.07109,0.01614,0.0162
0.001,0.62761,-0.7,0.31,0.00025,8e-05,-4.34,-3.89,-4.23,0.0,0.07963,0.07963,0.07931,0.00112,0.08042,0.07956,5e-05,0.0795,0.01967,0.01975
0.001,0.62761,-0.6,0.37,0.00033,0.00011,-4.17,-3.69,-4.07,0.0,0.08991,0.08991,0.08951,0.00163,0.09114,0.08984,6e-05,0.08977,0.02401,0.02413
0.001,0.62761,-0.5,0.41,0.00042,0.00015,-4.01,-3.5,-3.91,0.0,0.10243,0.10243,0.10191,0.00223,0.10414,0.10234,7e-05,0.10226,0.02936,0.02951
0.001,0.62761,-0.4,0.45,0.00053,0.00019,-3.84,-3.3,-3.74,0.0,0.11754,0.11754,0.11691,0.00311,0.12002,0.11744,9e-05,0.11735,0.03589,0.03609
0.001,0.62761,-0.3,0.48,0.00064,0.00025,-3.67,-3.11,-3.58,0.0,0.13566,0.13566,0.1349,0.00408,0.13899,0.13555,8e-05,0.13546,0.04386,0.04411
0.001,0.62761,-0.2,0.47,0.00074,0.0003,-3.49,-2.92,-3.41,0.0,0.15712,0.15712,0.15628,0.00526,0.16154,0.15702,9e-05,0.15693,0.05347,0.05377
0.001,0.62761,-0.1,0.44,0.00081,0.00033,-3.32,-2.74,-3.24,0.0,0.18225,0.18225,0.18133,0.00642,0.18776,0.18214,0.0001,0.18205,0.06498,0.06531
