sep,c,log_r,loss_decrease,ce_gap,err_gap,cal_mzr,ref_mzr,ce_mzr,cal_min,ref_cal_mzr,ce_cal_mzr,ref_min,cal_ref_mzr,ce_ref_mzr,ce_min,cal_ce_mzr,ref_ce_mzr,err_ref_mzr,err_ce_mzr
0.001,2.76583,-1.0,6.54,0.00243,0.00087,-4.88,-0.53,-4.11,0.0,0.03737,0.03737,0.03469,0.10446,0.13915,0.03712,0.00024,0.03688,0.00126,0.00213
0.001,2.76583,-0.9,6.99,0.00261,0.00095,-4.98,-0.38,-4.18,0.0,0.03762,0.03762,0.03475,0.12981,0.16456,0.03736,0.00024,0.03712,0.00128,0.00223
0.001,2.76583,-0.8,7.48,0.00282,0.00102,-5.07,-0.23,-4.24,0.0,0.03791,0.03791,0.03482,0.15995,0.19478,0.03764,0.00025,0.03739,0.00131,0.00234
0.001,2.76583,-0.7,8.0,0.00304,0.00111,-5.18,-0.08,-4.32,0.0,0.03822,0.03822,0.03491,0.19515,0.23007,0.03795,0.00025,0.0377,0.00135,0.00246
0.001,2.76583,-0.6,8.58,0.00329,0.00121,-5.28,0.06,-4.4,0.0,0.03859,0.03859,0.03502,0.23255,0.26757,0.0383,0.00025,0.03805,0.00139,0.0026
0.001,2.76583,-0.5,9.19,0.00356,0.00132,-5.39,0.2,-4.49,0.0,0.039,0.039,0.03515,0.27385,0.30901,0.03871,0.00026,0.03845,0.00144,0.00276
0.001,2.76583,-0.4,9.85,0.00386,0.00141,-5.5,0.33,-4.5,0.0,0.0395,0.0395,0.03532,0.31495,0.35027,0.03918,0.00032,0.03886,0.00151,0.00292
0.001,2.76583,-0.3,10.55,0.00419,0.00157,-5.62,0.46,-4.69,0.0,0.04006,0.04006,0.03553,0.35749,0.39302,0.03972,0.00026,0.03946,0.0016,0.00316
0.001,2.76583,-0.2,11.28,0.00455,0.0017,-5.74,0.57,-4.76,0.0,0.0407,0.0407,0.03581,0.39364,0.42945,0.04036,0.00029,0.04006,0.0017,0.00341
0.001,2.76583,-0.1,12.08,0.00497,0.00183,-5.84,0.69,-4.73,0.0,0.04156,0.04156,0.03617,0.43184,0.46801,0.04113,0.00041,0.04073,0.00185,0.00367
0.001,2.76583,0.0,12.86,0.00541,0.00206,-5.96,0.79,-5.04,0.0,0.04252,0.04252,0.03664,0.46196,0.4986,0.04205,0.00028,0.04177,0.00204,0.0041
0.001,2.76583,0.1,13.64,0.00589,0.00224,-6.09,0.9,-5.13,0.0,0.04372,0.04372,0.03727,0.49236,0.52963,0.04316,0.00031,0.04285,0.00229,0.00453
0.001,2.76583,0.2,14.42,0.00642,0.00241,-5.63,0.99,-5.11,0.00011,0.04458,0.04469,0.03812,0.5147,0.55282,0.04454,0.00044,0.0441,0.00263,0.00504
0.001,2.76583,0.3,15.17,0.00703,0.0026,-5.58,1.09,-5.1,0.0002,0.04617,0.04637,0.03928,0.5365,0.57578,0.0463,0.0006,0.0457,0.00309,0.00569
0.001,2.76583,0.4,15.73,0.00763,0.00296,-5.53,1.18,-5.52,0.00033,0.04819,0.04853,0.04088,0.55315,0.59402,0.04851,0.00035,0.04816,0.00374,0.00669
0.001,2.76583,0.5,16.1,0.00827,0.00316,-5.51,1.27,-5.5,0.00049,0.0509,0.05139,0.0431,0.56686,0.60996,0.05137,0.00052,0.05086,0.00463,0.0078
0.001,2.76583,0.6,16.23,0.00895,0.00336,-5.48,1.36,-5.47,0.00072,0.05447,0.05518,0.04622,0.57749,0.62371,0.05518,0.00075,0.05442,0.0059,0.00926
0.001,2.76583,0.7,16.02,0.00966,0.00356,-5.45,1.45,-5.45,0.00102,0.05926,0.06028,0.05062,0.58484,0.63546,0.06028,0.00102,0.05926,0.0077,0.01126
0.001,2.76583,0.8,15.42,0.01035,0.00371,-5.42,1.54,-5.42,0.00142,0.06573,0.06716,0.0568,0.5886,0.64541,0.06716,0.00142,0.06573,0.01024,0.01395
0.001,2.76583,0.9,15.24,0.01176,0.00366,-5.09,1.62,-5.1,0.00304,0.07415,0.07719,0.06543,0.58752,0.65295,0.07719,0.00305,0.07414,0.01383,0.01748
0.001,2.76583,1.0,14.18,0.01277,0.00368,-5.04,1.71,-5.04,0.00412,0.08594,0.09005,0.07728,0.58279,0.66008,0.09005,0.00412,0.08594,0.01881,0.02249
0.01,2.08214,-1.0,16.32,0.01179,0.00417,-3.0,-0.41,-2.59,0.0,0.07414,0.07414,0.06044,0.17122,0.23166,0.07223,0.00181,0.07042,0.01175,0.01592
0.01,2.08214,-0.9,17.59,0.01301,0.00469,-3.02,-0.27,-2.59,0.0,0.07584,0.07584,0.06096,0.2037,0.26466,0.07397,0.00181,0.07217,0.01197,0.01665
0.01,2.08214,-0.8,18.8,0.01426,0.00522,-3.05,-0.13,-2.6,0.0,0.07765,0.07765,0.06158,0.23987,0.30146,0.07584,0.00179,0.07405,0.01222,0.01745
0.01,2.08214,-0.7,19.94,0.01553,0.00581,-3.08,0.0,-2.63,0.0,0.07955,0.07955,0.06234,0.27631,0.33864,0.07786,0.00167,0.0762,0.01254,0.01835
