sep,c,log_r,loss_decrease,ce_gap,err_gap,cal_mzr,ref_mzr,ce_mzr,cal_min,ref_cal_mzr,ce_cal_mzr,ref_min,cal_ref_mzr,ce_ref_mzr,ce_min,cal_ce_mzr,ref_ce_mzr,err_ref_mzr,err_ce_mzr
0.001,1.7948,-1.0,4.45,0.00187,0.00065,-4.64,-2.25,-4.11,0.0,0.0423,0.0423,0.04016,0.01438,0.05454,0.04202,0.00026,0.04177,0.00345,0.00409
0.001,1.7948,-0.9,5.02,0.00216,0.00076,-4.66,-2.1,-4.12,0.0,0.04324,0.04324,0.04079,0.01842,0.05921,0.04294,0.00027,0.04267,0.0037,0.00446
0.001,1.7948,-0.8,5.67,0.00249,0.00089,-4.69,-1.95,-4.12,0.0,0.04431,0.04431,0.04149,0.02353,0.06502,0.04398,0.0003,0.04369,0.00398,0.00487
0.001,1.7948,-0.7,6.39,0.00288,0.00104,-4.71,-1.79,-4.13,0.0,0.04551,0.04551,0.04228,0.03045,0.07273,0.04517,0.00032,0.04485,0.0043,0.00534
0.001,1.7948,-0.6,7.18,0.00334,0.00122,-4.74,-1.62,-4.15,0.0,0.0469,0.0469,0.04319,0.03984,0.08303,0.04653,0.00033,0.0462,0.00467,0.00589
0.001,1.7948,-0.5,8.06,0.00388,0.00143,-4.77,-1.46,-4.16,0.0,0.0485,0.0485,0.04423,0.05116,0.09539,0.04811,0.00036,0.04775,0.00509,0.00652
0.001,1.7948,-0.4,9.0,0.00449,0.00168,-4.8,-1.29,-4.18,0.0,0.05036,0.05036,0.04545,0.0663,0.11174,0.04994,0.00038,0.04956,0.00559,0.00726
0.001,1.7948,-0.3,9.99,0.0052,0.00194,-4.82,-1.12,-4.17,0.0,0.05251,0.05251,0.04688,0.08532,0.1322,0.05208,0.00046,0.05163,0.00617,0.00811
0.001,1.7948,-0.2,11.0,0.00601,0.0023,-4.85,-0.95,-4.24,0.0,0.05508,0.05508,0.04861,0.10888,0.15749,0.05462,0.00041,0.05421,0.00687,0.00917
0.001,1.7948,-0.1,11.98,0.00691,0.00267,-4.88,-0.79,-4.27,0.0,0.05811,0.05811,0.05072,0.1358,0.18652,0.05763,0.00043,0.0572,0.00774,0.01041
0.001,1.7948,0.0,12.88,0.00789,0.00305,-4.91,-0.63,-4.27,0.0,0.06174,0.06174,0.05335,0.16747,0.22082,0.06124,0.0005,0.06074,0.00882,0.01187
0.001,1.7948,0.1,13.62,0.00894,0.00353,-4.93,-0.48,-4.35,0.0,0.06611,0.06611,0.05668,0.20146,0.25814,0.06562,0.00044,0.06518,0.01019,0.01372
0.001,1.7948,0.2,14.09,0.00999,0.004,-4.95,-0.34,-4.4,0.0,0.07143,0.07143,0.06096,0.23636,0.29732,0.07095,0.00043,0.07052,0.01196,0.01596
0.001,1.7948,0.3,14.2,0.011,0.00445,-4.97,-0.21,-4.45,0.0,0.07797,0.07797,0.0665,0.27048,0.33698,0.0775,0.00041,0.07709,0.01428,0.01873
0.001,1.7948,0.4,13.88,0.01188,0.00488,-4.98,-0.09,-4.51,0.0,0.08604,0.08604,0.07373,0.30198,0.37571,0.08561,0.00037,0.08524,0.01731,0.02219
0.001,1.7948,0.5,13.1,0.01253,0.00523,-4.98,0.02,-4.57,0.0,0.09608,0.09608,0.08316,0.32911,0.41228,0.0957,0.00032,0.09538,0.02131,0.02653
0.001,1.7948,0.6,11.88,0.01286,0.00545,-4.98,0.13,-4.62,0.0,0.10861,0.10861,0.09541,0.35287,0.44828,0.10827,0.00027,0.108,0.02655,0.032
0.001,1.7948,0.7,10.31,0.01278,0.00552,-4.96,0.23,-4.67,0.0,0.12418,0.12418,0.11112,0.36928,0.4804,0.1239,0.0002,0.1237,0.03336,0.03888
0.001,1.7948,0.8,8.56,0.01226,0.0054,-4.93,0.33,-4.69,0.0,0.1434,0.1434,0.13092,0.37963,0.51055,0.14317,0.00016,0.14301,0.04208,0.04748
0.001,1.7948,0.9,6.8,0.01133,0.00512,-4.89,0.43,-4.7,0.0,0.16678,0.16678,0.15527,0.38292,0.53819,0.16661,0.00012,0.16649,0.05302,0.05813
0.001,1.7948,1.0,5.19,0.0101,0.00468,-4.84,0.53,-4.69,0.0,0.19462,0.19462,0.18439,0.37862,0.56301,0.19449,8e-05,0.19441,0.0664,0.07108
0.01,1.35113,-1.0,5.51,0.00468,0.00154,-3.23,-2.11,-2.95,0.0,0.08618,0.08618,0.08032,0.0201,0.10042,0.085,0.00106,0.08394,0.0201,0.02163
0.01,1.35113,-0.9,6.39,0.00569,0.00195,-3.19,-1.96,-2.9,0.0,0.09029,0.09029,0.08334,0.02621,0.10956,0.08904,0.00113,0.08791,0.02138,0.02333
0.01,1.35113,-0.8,7.28,0.00681,0.00242,-3.16,-1.8,-2.86,0.0,0.09483,0.09483,0.08669,0.03449,0.12118,0.0935,0.00116,0.09234,0.02281,0.02523
0.01,1.35113,-0.7,8.17,0.00804,0.00293,-3.13,-1.64,-2.82,0.0,0.0998,0.0998,0.09042,0.04487,0.13529,0.09846,0.00123,0.09723,0.0244,0.02733
0.01,1.35113,-0.6,9.04,0.0094,0.00351,-3.11,-1.48,-2.79,0.0,0.10539,0.1054,0.09461,0.05775,0.15236,0.10401,0.00127,0.10274,0.0262,0.02971
0.01,1.35113,-0.5,9.88,0.01089,0.00414,-3.09,-1.32,-2.76,0.0,0.11163,0.11163,0.09936,0.07352,0.17288,0.11025,0.00134,0.10891,0.02825,0.0324
0.01,1.35113,-0.4,10.64,0.01248,0.00486,-3.07,-1.16,-2.74,0.0,0.11865,0.11865,0.10482,0.0925,0.19732,0.1173,0.00135,0.11595,0.03062,0.03547
0.01,1.35113,-0.3,11.29,0.01415,0.00565,-3.05,-1.01,-2.73,0.0,0.1266,0.1266,0.11116,0.11332,0.22448,0.12531,0.0013,0.12402,0.03338,0.03902
0.01,1.35113,-0.2,11.78,0.01584,0.00645,-3.04,-0.85,-2.72,0.0,0.13573,0.13573,0.11861,0.13892,0.25753,0.13446,0.00126,0.1332,0.03664,0.0431
0.01,1.35113,-0.1,12.05,0.01747,0.00724,-3.03,-0.71,-2.71,0.0,0.14617,0.14617,0.12747,0.16347,0.29094,0.14493,0.00123,0.1437,0.04055,0.04779
0.01,1.35113,0.0,12.04,0.01891,0.00801,-3.01,-0.57,-2.71,0.0,0.15808,0.15808,0.13807,0.18951,0.32758,0.15698,0.00113,0.15585,0.04527,0.05328
